DATE,FLSTHPI
1975-01-01,66.29
1975-04-01,84.19
1975-07-01,67.38
1975-10-01,68.73
1976-01-01,68.59
1976-04-01,76.78
1976-07-01,69.44
1976-10-01,71.03
1977-01-01,71.63
1977-04-01,79.77
1977-07-01,72.75
1977-10-01,75.36
1978-01-01,79.04
1978-04-01,83.86
1978-07-01,83.58
1978-10-01,85.13
1979-01-01,89.85
1979-04-01,92.49
1979-07-01,93.91
1979-10-01,98.11
1980-01-01,100.00
1980-04-01,99.93
1980-07-01,106.23
1980-10-01,109.05
1981-01-01,110.90
1981-04-01,112.81
1981-07-01,108.97
1981-10-01,114.48
1982-01-01,119.21
1982-04-01,120.38
1982-07-01,122.47
1982-10-01,122.83
1983-01-01,123.29
1983-04-01,125.23
1983-07-01,125.14
1983-10-01,125.42
1984-01-01,126.40
1984-04-01,127.47
1984-07-01,128.58
1984-10-01,127.10
1985-01-01,128.47
1985-04-01,129.00
1985-07-01,128.89
1985-10-01,130.62
1986-01-01,131.99
1986-04-01,135.43
1986-07-01,136.25
1986-10-01,136.40
1987-01-01,137.23
1987-04-01,139.19
1987-07-01,139.35
1987-10-01,140.31
1988-01-01,141.78
1988-04-01,144.72
1988-07-01,145.90
1988-10-01,147.05
1989-01-01,148.19
1989-04-01,149.24
1989-07-01,151.67
1989-10-01,152.85
1990-01-01,153.53
1990-04-01,153.04
1990-07-01,153.84
1990-10-01,153.26
1991-01-01,155.07
1991-04-01,155.58
1991-07-01,155.31
1991-10-01,157.97
1992-01-01,159.92
1992-04-01,158.49
1992-07-01,161.17
1992-10-01,161.29
1993-01-01,161.45
1993-04-01,163.24
1993-07-01,164.48
1993-10-01,166.16
1994-01-01,165.94
1994-04-01,164.81
1994-07-01,165.05
1994-10-01,164.92
1995-01-01,165.61
1995-04-01,167.62
1995-07-01,170.90
1995-10-01,172.30
1996-01-01,174.14
1996-04-01,173.20
1996-07-01,173.58
1996-10-01,174.42
1997-01-01,176.69
1997-04-01,176.51
1997-07-01,178.92
1997-10-01,182.00
1998-01-01,185.63
1998-04-01,185.47
1998-07-01,187.79
1998-10-01,190.65
1999-01-01,191.87
1999-04-01,193.31
1999-07-01,195.68
1999-10-01,198.06
2000-01-01,201.98
2000-04-01,205.54
2000-07-01,209.86
2000-10-01,214.29
2001-01-01,220.42
2001-04-01,225.99
2001-07-01,231.16
2001-10-01,236.75
2002-01-01,241.52
2002-04-01,248.81
2002-07-01,255.85
2002-10-01,261.69
2003-01-01,267.22
2003-04-01,273.67
2003-07-01,280.23
2003-10-01,293.24
2004-01-01,302.09
2004-04-01,316.20
2004-07-01,335.92
2004-10-01,351.19
2005-01-01,370.13
2005-04-01,397.50
2005-07-01,424.95
2005-10-01,447.19
2006-01-01,464.85
2006-04-01,474.53
2006-07-01,478.42
2006-10-01,481.67
2007-01-01,478.55
2007-04-01,472.33
2007-07-01,455.29
2007-10-01,443.87
2008-01-01,426.20
2008-04-01,397.03
2008-07-01,364.99
2008-10-01,346.68
2009-01-01,352.65
2009-04-01,334.15
2009-07-01,314.62
2009-10-01,307.00
2010-01-01,300.92
2010-04-01,292.43
2010-07-01,296.11
2010-10-01,290.43
2011-01-01,276.74
2011-04-01,268.47
2011-07-01,271.27
2011-10-01,273.72
2012-01-01,268.24
2012-04-01,266.28
2012-07-01,272.74
2012-10-01,276.60
2013-01-01,280.41
2013-04-01,289.58
2013-07-01,297.23
2013-10-01,305.05
2014-01-01,309.92
2014-04-01,317.97
2014-07-01,325.13
2014-10-01,331.11
2015-01-01,338.11
2015-04-01,347.31
2015-07-01,356.37
2015-10-01,363.51
2016-01-01,371.48
2016-04-01,381.46
2016-07-01,391.50
2016-10-01,398.05
2017-01-01,407.03
2017-04-01,418.48
